"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPINK2|6691",1515.56587604458,-9.28031014407904,0.586839947452648,-15.8140395594454,2.48977584289192e-56,4.68202347255825e-52
"SERPINA5|5104",5908.41261932792,-7.04020128903556,0.461572980218226,-15.2526287082641,1.58136305466696e-52,1.48687661215061e-48
"AQP2|359",7151.70413561011,-10.8434771719654,0.715495617109088,-15.1551971985206,7.00049889479904e-52,4.3881460572232e-48
"SEMG2|6407",441733.680807031,-12.0726490566922,0.815521831217765,-14.8035878311988,1.38873054259958e-49,6.52876946339627e-46
"MCF2|4168",423.397748965458,-6.03778640612909,0.413528046249389,-14.6006696786119,2.78100140517521e-48,1.04593462848639e-44
"SEMG1|6406",844240.028017151,-12.2461727254115,0.849525067577111,-14.4153165018875,4.14534527337304e-47,1.299220297763e-43
"MFSD2A|84879",2627.66582376631,-6.67778582179911,0.464781507306012,-14.3675807165935,8.26689395809305e-47,2.22084201259914e-43
"PIP|5304",25142.4991896688,-8.71716422713043,0.608121446644678,-14.3345778630692,1.33053112379947e-46,3.12757972288113e-43
"EMX2|2018",1243.6257619429,-7.26652183218475,0.520012663461986,-13.9737401466492,2.2546816007823e-44,4.71103194474569e-41
"CLDN2|9075",1578.94513789816,-8.44553848646429,0.60759413947166,-13.8999669973911,6.33705779165776e-44,1.19168371772124e-40
"HOXB8|3218",498.540931886345,-7.0486371271016,0.516802199692587,-13.6389456764975,2.34932552387546e-42,4.01627877058891e-39
"PNMT|5409",418.805137773803,-5.83963559751984,0.435692460084618,-13.4031137384973,5.79786824831353e-41,9.08574270079466e-38
"EPHA10|284656",331.334643361152,2.01739973109391,0.151564630721767,13.3104915143252,2.01154045015069e-40,2.90977062808336e-37
"CRTAC1|55118",1208.61482691612,-4.75532424021797,0.370209445067758,-12.8449565605967,9.18034463841527e-38,1.23311700660999e-34
"ACSL6|23305",619.924041677755,-5.74899930452423,0.45302069856248,-12.6903678413964,6.68709788593812e-37,8.38339171633775e-34
"ANXA13|312",439.95465862639,-7.24643531698015,0.571413770683459,-12.6815902744395,7.47987125222555e-37,8.79118618113134e-34
"EMX2OS|196047",1553.89273897797,-5.93327508194946,0.474837645630101,-12.4953763387402,7.91209897064341e-36,8.75217771429114e-33
"PATE4|399968",2841.22254204107,-11.6961996735377,0.936986119531372,-12.4827886237925,9.26827689953682e-36,9.68277483865499e-33
"PATE1|160065",5893.86351274834,-11.9466073741098,0.968976580490853,-12.3290981584488,6.31495235869428e-35,6.25014100553926e-32
"TRIP6|7205",2567.76975731217,-1.31867274940499,0.107687188462831,-12.2454004810437,1.77797262059859e-34,1.67173875651783e-31
"PIK3C2G|5288",246.701212441477,-4.84107480523518,0.395631602828333,-12.2363197748279,1.98846233002119e-34,1.78062067219278e-31
